firsrt_name,last_name,DOB,height,weight
Alyssa,STEPHENSON,12221960,58,128
Nehemiah,BERG,05041945,58,122
Lana,SIEGEL,12291967,71,143
Haley,KATZ,08041963,70,152
Meredith,MILLER,06221942,75,152
April,OWEN,04111983,68,158
Shayla,SAMUEL,01241982,56,108
Devin,BLANKENSHIP,08221983,57,117
Harley,ECKERT,10221962,76,159
Ashton,LACHANCE,05011959,72,160
Derek,DODGE,02181984,69,146
Lukas,COLLAZO,11051967,65,147
Daisy,CLEVENGER,02201964,56,103
Joel,SLAUGHTER,10041961,77,156
Dean,RITTER,10161942,72,132
Katelyn,COATS,12301940,71,141
Curtis,LEE,03281961,70,142
Gary,GILCHRIST,02111940,70,154
Taryn,CHAN,09131984,57,103
Shannon,DELEON,12021984,65,133
Hope,STERN,07311983,58,102
Justice,CHILDS,12011970,77,165
Evin,WANG,05171944,62,126
Georgia,PEACOCK,01201953,78,179
Leon,FRANCO,11281953,56,110
Kara,LAYNE,04141975,62,130
Bryanna,COATS,07051978,58,124
Elias,BONNER,03171943,69,145
Adeline,BLOCKER,06211970,74,172
Hayden,SHEPARD,02211960,72,152
Dean,DIGGS,04251981,62,164
Genesis,HUBBARD,04191976,75,164
Leonel,ROSALES,11191982,79,177
Kristian,RAGLAND,03191943,68,160
Tatum,LBOOM,02221981,60,121
Easton,DICKSON,06291959,55,116
Hugo,CARRANZA,04281957,79,170
Aubree,DILLON,09191954,74,163
Danica,GARDINER,05011968,64,149
Ashley,CARY,03111946,57,134
Daniel,DOLAN,08061981,68,132
Jon,GAITHER,01051974,64,131
Billy,JUAREZ,06211953,73,159
Ryan,SHAW,09201952,67,148
Noe,MARSH,04221965,75,145
Francisco,GILLESPIE,05211964,75,153
Kelly,KEEN,06241949,73,156
Brian,MICHAELS,01291946,56,122
Johan,COMER,09181980,70,148
Jake,GUILLEN,03091940,64,113
Angelo,HANLEY,02251967,71,135
Lauryn,DICKEY,05031967,63,122
Roberto,SWIFT,12051965,63,132
Drake,SHAVER,11251959,73,145
Kiana,SILVERMAN,01071968,79,161
Valeria,KIMBALL,02201958,71,161
Peyton,NGUYEN,05031958,73,161
Brenden,MORSE,07141959,64,133
Donald,SCHROEDER,11041940,69,136
Guillermo,HUSTON,10301957,62,118
Erika,SPEAR,02181942,73,151
Jenna,BOWLING,06091943,66,140
Sebastian,TYLER,09061974,79,180
Daniela,NOLEN,03041963,64,144
Paris,VEST,04051972,65,120
Maximus,SEITZ,10311947,68,127
Catherine,ELROD,12221966,79,166
Clara,WILSON,02141973,72,140
Brayden,BONILLA,07081974,68,135
Emily,AGUILAR,04091957,62,108
Desiree,SHANKS,06041963,65,137
Josiah,HUSTON,06171962,61,141
Cyrus,BARCLAY,03061969,59,139
Javon,SAPP,10061977,57,102
Julianna,VAUGHAN,05261965,61,122
Georgia,BARNHART,06011977,61,132
Aileen,SNELL,12221983,55,112
Taylor,BARGER,11201977,79,176
Casey,WILLIAM,03081947,69,137
America,FORTIER,10251947,66,144
Fernando,NEGRON,08011973,69,146
Mitchell,SIMPSON,05231979,74,127
Mathew,JACQUES,11261964,70,152
Annie,JOHN,05061956,79,175
Tatum,SHIRLEY,01181982,60,140
Madison,ELY,12211959,65,129
Johnny,MAYFIELD,02201947,79,159
Colin,AKINS,05061940,70,153
Paris,CRUM,03311970,74,158
Skye,CORNETT,01271969,58,115
Mateo,LILLY,02061956,57,115
Wendy,GONZALEZ,11121948,75,131
Ainsley,BALLARD,09101978,85,133
Ella,MARCUM,12211984,77,164
Osvaldo,SANDOVAL,10121976,75,146
Gage,LACKEY,05281972,70,150
Kassandra,JOHN,05271980,62,122
Jimmy,GAITHER,09101967,70,139
Brooke,ROBISON,08281960,61,126
Jacob,KINCAID,11301959,60,124
Mauracio,RAMEY,08171971,70,132
Sierra,PENNINGTON,09101980,67,119
Joel,ALFARO,06171965,63,118
Sandra,UNDERWOOD,03011985,61,118
Arturo,ROCKWELL,01061952,60,114
Camryn,GOOD,07071949,75,164
Dylan,MUELLER,12111952,78,170
Dana,ROBERSON,10241981,62,135
Luis,WYNN,09101959,63,118
Jorge,JENNINGS,11061956,78,159
Tyler,SINGH,12211953,58,106
Bridget,TOVAR,12181978,69,144
Leonardo,HOOPER,06251949,62,124
Kyla,TOMLIN,02071964,65,130
Johan,HUGGINS,04281980,60,114
Myles,MONAHAN,04131981,80,159
Kayden,FREDERICK,05021956,76,172
Bryanna,VANDYKE,10231968,73,168
Lauren,SCHWARZ,12111985,68,151
Cassidy,HERRON,01221979,68,132
Grayson,CULPEPPER,12091940,63,136
Genesis,SALTER,05261976,62,119
Asia,NAPIER,10221946,66,135
Reid,ALONZO,12181985,70,148
Giovanni,SAENZ,05041978,78,154
Grady,WINTER,05081954,76,170
Gavin,ONEILL,01151972,78,197
Casey,ALICEA,10221969,65,136
Madison,WINDHAM,04241974,72,159
Addyson,DOWNS,12201976,60,104
Cameron,MAJORS,04131975,60,138
Lola,BROWER,05091957,68,133
Zoey,POLLOCK,03011954,63,122
Shannon,NIX,01151950,70,153
Randy,PRATHER,03171948,79,158
Chase,FOY,08161979,79,159
Eduardo,NAQUIN,10111979,60,125
Beau,THIGPEN,08271970,76,158
Aiden,RIVERS,01301985,62,135
Emmanuel,ARTIS,11181983,74,161
Thomas,WHITSON,12051965,65,144
Sadie,BECKETT,05221952,56,115
Alexia,NIELSEN,04181968,69,132
Melany,PAXTON,12031949,66,139
Mckenna,SYKES,12201949,70,158
Israel,CAPPS,11171946,70,143
Arianna,FAIR,03091947,57,104
Kaleb,LAW,11151974,62,128
Alessandra,BUCKLEY,09031953,67,135
Caiden,WESTON,07281965,69,137
Noah,POINDEXTER,02131960,77,162
Serena,WINDHAM,10311973,64,134
Lucia,CHENG,05211952,58,120
Tatum,VASQUEZ,09261974,55,115
Bella,WISEMAN,03021985,56,110
Damon,GROVES,06251951,56,120
Luis,SKIDMORE,03031959,68,137
Phoebe,OJEDA,07301950,61,125
Lacey,LE,07151950,67,139
Norah,CHIN,05311940,75,159
Brianna,MADRID,12211949,65,154
Bethany,HYMAN,01271964,61,122
Dennis,DIAZ,03011962,59,113
Erick,PARSONS,08151950,76,153
Dorian,WELLER,06191976,61,111
Marshall,GONZALES,08091950,74,151
Jace,REITER,08131973,75,149
Zoey,BURCH,05301972,79,170
Jennifer,IRVING,01261966,60,128
Porter,CLEVENGER,02141985,69,145
Ethan,POTTER,09291957,55,123
Andre,KNOTT,02241985,69,145
Brenda,LOVE,11241960,68,122
Kenneth,MACKENZIE,02251944,77,167
Tyson,SAPP,02121976,56,92
Rowan,MORELAND,09081958,58,119
Natasha,BRINK,12291972,59,105
Jaylin,SHAPIRO,11061968,72,140
Cesar,HERRON,03241972,64,129
Adam,WEBBER,09021948,61,129
Chloe,CASPER,06031958,78,176
Julio,PIPER,08261980,79,188
Erick,PLUMMER,09101955,65,133
Manuel,CRAIN,01051964,59,119
Paris,KINDER,08101957,58,112
Tatum,QUEEN,04151960,56,98
Julius,BUENO,05141966,63,129
Bradley,NUMBERS,07091948,55,115
Harrison,FAULK,02131972,79,183
Tommy,PIERCE,03211975,59,123
Roy,NEGRON,11041945,71,146
Laura,BRUCE,07031950,64,131
Addison,IRBY,03301963,72,154
Josiah,HIATT,05281956,61,138
Piper,GILLIAM,01211962,69,153
Bryanna,MIZE,02171983,55,106
William,BURGESS,04291962,63,130
Hope,RICO,03131975,76,178
Megan,ALBRECHT,12231960,71,129
Melody,IRWIN,11111940,69,124
Brenna,JEAN,09231949,75,170
Francesca,TANG,05041962,69,158
Lacey,WORRELL,07041951,71,129
Brayan,GEIGER,05201969,66,150
Emely,NEELY,07101964,55,95
Chase,TATUM,09181955,64,150
Madisyn,PARSONS,01211962,68,162
Nathanael,AHNDY,12131944,70,156
Layla,YOUNGBLOOD,07161953,73,134
William,CASSIDY,07161976,74,148
Kimberly,CHAMBERS,04261958,58,131
Jaylen,BENAVIDEZ,01061977,59,133
Casey,ANDRADE,09031952,71,137
Louis,BOLLINGER,12021978,56,107
Aliyah,VERA,07111951,75,206
Veronica,BURNEY,12231981,77,173
Hugo,SMALLWOOD,07311971,66,136
Jordan,SHERRILL,04041957,63,117
Kelsey,MCKINNON,02031949,60,113
Jakob,HOBBS,12301978,79,161
Scott,HASTINGS,11231964,56,126
Casey,TOVAR,11161940,70,142
Juan,BLACKMON,03111981,66,138
Collin,HOLDER,11111966,72,139
Skye,HANKS,03081968,79,168
Timothy,CATES,03121975,57,113
Jeremy,COBB,06201964,56,132
Davis,SPARKS,08081951,59,99
Kassandra,ROCHA,09151915,77,174
Ezekiel,DUBE,04271949,55,105
Tony,CARR,02281964,78,164
Declan,DREW,12121961,57,99
Tiffany,SCOTT,11231958,55,119
Angel,ADAM,10101945,70,137
Sara,STERLING,09211976,79,171
Kyler,LUNSFORD,05281962,75,157
Jackson,ADCOCK,12291970,56,131
Brett,BURNETT,08131978,76,161
Nancy,GILMAN,01231985,60,114
Taryn,ASH,01161967,63,122
Zion,FARR,04191957,64,140
Kathleen,MADDEN,12131977,79,168
Terry,CASON,08291965,68,133
Tate,MEANS,11101982,76,161
Sasha,FELDER,05291954,69,135
James,GRIMES,10221967,70,167
Danica,TITUS,05201980,55,119
Katelyn,WINKLER,01211985,67,135
Jadon,FAGAN,03151951,76,163
Bryanna,CARRIER,05141971,68,147
Jake,MORELAND,12251974,75,162
Jimmy,LACY,11201966,76,162
Connor,BINGHAM,10291979,77,166
Jennifer,MATHEWS,06141968,57,114
Cash,HOLLOWAY,03241983,79,169
Donald,FELIX,05041959,69,147
Bailey,WEAVER,08101976,59,111
Ivan,TALBOT,05231966,56,128
Jaiden,VANCE,08141973,68,162
Dakota,BATTLE,11251985,57,106
Breanna,COLES,02051952,71,145
Dallas,MURDOCK,05271962,67,119
Karla,LENTZ,01191957,65,142
Penelope,WAHL,01051980,64,121
Ethan,PRATHER,12041977,59,129
Lexi,CHURCHILL,12091953,63,117
Brayden,MACK,01071980,58,115
Samuel,HURST,11261941,59,135
Omar,SOLOMON,01181973,60,110
Karen,HANKS,08201954,61,135
Amir,CLIFTON,03081974,60,119
Manuel,MCFADDEN,07281965,62,128
Ashlyn,ESTES,10101949,73,153
Tommy,KENYON,01021975,74,157
Denise,CONNOR,04271947,75,168
Audrey,HANKS,11281955,60,126
Lana,GUILLEN,02081960,57,99
Kristina,PIPER,01051959,68,137
Seth,STRANGE,02251954,75,150
Anderson,LAYTON,07231974,62,109
Avery,CALL,09241955,76,154
Khalil,MCCLELLAND,06241972,60,112
Morgan,PHIPPS,06101957,72,153
Hector,MCCORD,05161983,58,127
Steven,STEPP,09171950,74,147
Katherine,MOSELEY,02131952,67,136
Janiyah,CALLOWAY,11011981,63,133
Ashlyn,HARMS,02221969,76,180
Uriel,HIMES,11121963,55,121
Alivia,SMALLS,10121955,78,172
Yesenia,HOLLINGSWORTH,02171947,74,157
Audrey,BURGESS,05051956,64,134
Isiah,STERLING,01091941,69,141
Delilah,SYLVESTER,02031984,74,168
Angelina,SHEEHAN,09301980,74,172
Cadence,ARTHUR,08141981,66,140
Danny,GODDARD,11231981,77,176
Hanna,CALLAWAY,02201978,74,137
Nina,KINCAID,03231985,63,122
Drake,MOSER,05121976,63,128
Samuel,POLLARD,08181946,65,127
Graham,GLASS,12021975,78,177
Jazmin,MEZA,10051959,68,131
Xavier,REDMAN,06301962,56,114
Elliot,LEVY,10191967,79,189
Simon,OTT,01191970,56,130
Alberto,CARLSON,02191971,55,91
Daniel,BEAULIEU,03131957,59,105
Leonardo,ARSENAULT,08151953,73,157
Evelyn,CHOI,06041940,70,161
Rafael,HAN,04161955,56,96
Sierra,MOTT,11041985,68,132
Albert,SNODGRASS,07021947,69,148
Jaden,CARON,03081964,61,129
Jaylen,FELDMAN,02111965,64,125
Myles,WOODS,08091983,77,166
Bryanna,CHAPPELL,11301975,62,117
Harmony,PEARCE,08181975,69,156
Haley,BEAVERS,11031942,56,94
Layla,LINTON,07291978,74,158
Paola,LACKEY,04051941,57,134
Jocelyn,ELLISON,02201970,76,160
Camille,BAIN,04281952,71,142
Israel,ADAMS,12021980,62,125
Catherine,MORIN,08011952,60,124
Brett,RANSOM,12271981,74,154
Meghan,ADAM,04131958,77,178
Brennan,TIMMONS,01271983,65,154
Ivan,VELEZ,01131960,73,149
Leon,GARZA,05071966,75,149
Dominic,HIGHTOWER,01081970,72,151
Laura,ELLINGTON,01091942,72,150
Jaiden,MCCORD,08011956,69,136
Ayden,FORTNER,05261970,60,138
Jennifer,SAYLOR,05041953,62,147
Jazlyn,EBERT,08261970,72,150
David,GILL,04071963,67,150
William,HAYNES,02081976,71,147
Cole,CATES,03091966,68,141
Norah,LYON,12271961,72,150
Delaney,KANG,02241972,66,171
Leah,THOMSON,04201962,73,170
Randy,BEAM,09261968,67,131
Kaitlyn,PROCTOR,07291943,78,165
Athena,CRAFT,04061957,70,152
Brenda,ACOSTA,04211975,70,152
Fatima,GEORGE,09051949,78,160
Tristen,GUINN,01031945,66,126
Allison,VILLEGAS,03131948,73,157
Madisyn,JARRELL,01041957,58,108
Mateo,MACE,06031956,61,130
Priscilla,COLEY,06171976,78,162
Allyson,ENRIQUEZ,11181958,64,140
Lukas,OROURKE,04091974,75,163
Elliot,MANLEY,11301970,75,156
Nora,PEREZ,06131976,75,163
Daniela,BECK,10071961,72,149
Madelyn,CORNWELL,11241954,64,122
Michelle,SHEPPARD,02061962,72,164
Kyle,GIBBONS,02221960,68,113
Zachary,DILLON,10291966,75,179
Amya,WHITLEY,08081976,74,160
Shaun,PROCTOR,08211982,68,151
Uriel,GUAJARDO,08241985,77,176
Lilliana,MCGEE,05231965,64,130
Andres,HIATT,04101940,74,151
Felix,PENDLETON,10211985,73,155
Dallas,DUKES,08251957,66,134
Jaime,ROBBINS,03051969,61,131
Dallas,REITER,10111949,64,123
Arturo,LANIER,09271944,72,151
Audrey,CAMPOS,10171971,61,127
Elliot,PIMENTEL,12091981,62,111
Lola,LOONEY,08201965,63,118
Marley,DELVALLE,08141966,67,159
Nicolas,SPEAR,01121948,63,129
Tessa,FOY,08191966,55,125
Mackenzie,BERG,02221944,76,165
Dorian,NOBLE,04281976,69,153
Rocco,SERRANO,05231957,72,157
Cora,RILEY,09141969,70,166
Nia,THORN,09151980,74,163
Quinn,DARLING,07181944,73,159
Zion,MCCRARY,03131962,59,113
Megan,MURRY,12251964,60,127
Keegan,OAKLEY,06231952,68,149
Brodie,CURRIER,11191981,55,91
Rachael,CHIN,07211959,57,118
Melvin,CRAWLEY,11081958,57,101
Jane,ROSARIO,10251984,77,150
Erik,MILLS,04111957,60,124
Samuel,MCWILLIAMS,12151966,75,147
Emma,THAO,07081970,55,112
Lizbeth,FRYE,01151965,76,150
Kristina,BARTLEY,02011971,57,126
Kathleen,LEVY,07301978,75,139
Marissa,WALDEN,03091957,59,104
Bryce,GUNTER,01281944,62,132
Tiffany,FORTNER,03281975,77,169
Ethan,MICHAELS,06111949,91,157
Lauryn,PRUITT,01301964,60,129
Sophie,CORMIER,09151981,59,122
Michaela,LACY,02251962,75,148
Yahir,HARRIS,09031972,78,171
Peter,WOLFORD,07051945,67,145
Kristen,CARUSO,10241982,59,136
Helen,MCPHERSON,10091984,68,132
Ricardo,DURANT,12111982,75,166
Ryan,PINA,11271963,61,127
Lydia,SIMPKINS,03281949,63,120
Celeste,LUCAS,08131977,79,163
Zane,BREWER,05211954,78,169
Reese,STARNGE,01251940,58,110
Miguel,NAVA,05121977,78,159
Angelina,MORELAND,03311940,58,106
Ismael,IRBY,05261977,79,174
Gabriella,GOINS,01121976,64,134
Delaney,TOBIAS,04301982,55,108
Carmen,BOOKER,10161980,71,150
Julie,SWIFT,10091980,77,148
Camryn,MCADAMS,05031948,62,131
Maxwell,SHAFFER,03111974,58,117
Antonio,CARROLL,01301950,55,103
Tessa,MOREY,08161980,60,127
Davis,GRAY,06261952,68,152
Jade,GREENBERG,07051955,68,156
Jaydon,MEYER,12181968,56,116
Sergio,RITCHIE,07271954,68,147
Kelsey,BELTRAN,08201952,58,102
Ashlee,FARROW,02181955,74,155
Eliza,ONEILL,06181951,58,115
Melany,PARIS,04031956,67,138
Brenda,SINGH,11281960,57,110
Troy,DENNISON,05061980,55,129
Lane,STRATTON,07081980,56,125
Annie,GUILLORY,04221964,59,126
Brayan,BAUMAN,10211948,78,162
Hope,HOLLIDAY,03241949,61,123
Elijah,KELLOGG,03011971,56,94
Dalton,HOWE,04101949,79,156
Aaliyah,CAMP,11101978,57,120
Aniya,HAN,10141968,70,138
Piper,PALACIOS,11151940,79,178
Lily,NIETO,11031968,71,149
Aaliyah,TITUS,06131954,62,128
Jude,DEMPSEY,01251976,56,129
Jordyn,ELLINGTON,03071983,63,136
Connor,GOLDMAN,05011982,57,104
Bradley,CLIFFORD,03141957,67,144
Jade,WEINSTEIN,05251980,71,161
Connor,JOYCE,12011981,66,124
Mekhi,HOUSTON,10011978,63,126
Gabriella,BROWNLEE,11081950,70,150
Aubrey,DOZIER,08281970,76,165
rynn,NADEAU,07081940,75,179
Harley,WINDHAM,06171977,66,138
Gianna,GARNER,09301985,62,119
Luke,SNIDER,08151975,70,158
Lana,TNA,07211964,58,104
Leilani,MOORE,08221973,79,189
Caitlyn,KILPATRICK,10031963,64,120
Ayla,KANE,07251976,59,125
Mohamed,DILL,04191949,61,136
Ximena,SCHUSTER,07131955,65,141
Raymond,VALENTIN,11231950,75,149
Brian,TACKETT,11071978,55,114
Christopher,OCHOA,12061965,67,143
Giovanni,SADLER,10201947,79,167
Lilliana,CONNELL,10311944,66,146
Melissa,VALLE,04131980,60,133
Jayda,MATLOCK,09171942,55,116
Jackson,MOSLEY,09141971,55,128
Joel,LARSEN,03171969,55,107
Richard,HATHAWAY,07041978,57,121
Alexis,SCHWARTZ,12261969,58,124
Edgar,INMAN,10021984,65,136
Amber,POOL,05011951,65,130
Devon,LUNA,07181960,77,158
Cindy,RICH,11111983,72,172
Ruth,KEEN,08191953,66,135
Biylee,CRAIG,10031981,55,120
Larry,SALGADO,04021960,64,139
Enrique,HACKER,11181982,74,142
Danny,SISK,08271953,65,154
Ryan,WEATHERS,01211978,64,120
Lola,OMALLEY,01261961,61,111
Blake,DUKE,02131940,64,137
Gregory,GIBBONS,01291966,57,104
Ashlyn,MITCHELL,04211957,61,125
Mary,HUMMEL,11061964,69,140
Luna,VIDAL,10081981,56,122
Emmanuel,ROHCA,08071962,76,165
Henry,STCLAIR,04161971,76,151
Macy,DUNBAR,05221966,76,163
Kiley,MEZA,02141953,55,113
Johnathan,LAWS,04151962,58,97
Alejandro,HATHAWAY,09091945,63,131
William,STILL,09131968,72,182
Declan,BUSCH,07271973,59,126
Sofia,GEIGER,08231948,75,179
Curtis,MUNSON,04071945,74,166
Desiree,IBARRA,02031953,61,131
Dillon,RIZZO,07231975,63,136
Kassandra,ARROYO,12261944,77,170
Jameson,MCMAHON,04041967,70,145
Joseph,JOHNS,09201956,56,131
Elizabeth,ESTRADA,05241984,65,120
Bella,LOPEZ,08211982,70,127
Amya,THOMAS,04081948,58,110
Cecilia,AGUILAR,01131942,65,132
Emerson,GRIMES,02181962,66,132
Laura,LANKFORD,06131968,68,163
Brielle,ROPER,10251964,58,130
Dayanara,ASKEW,08171972,57,132
Mekhi,HAMMONDS,06121943,63,125
Logan,POTTER,06171940,78,171
Karla,KEYES,10221958,62,134
Nataly,BIGELOW,07071954,69,139
Mathew,RICHARDSON,08241957,78,151
Esmeralda,BONE,05191961,70,144
Rosa,TRIPP,10061968,59,106
