name,DOB,sex,race,height,weight,zip,street,brth_cert_number
Brandon LOUIS,033166,0,2,77,,35792,6046 HORIERIC  STREET,729535
Hazel CARNEY,122247,0,4,71,,25670,4278 BENSON  STREET,783734
Rocco HARTMAN,070373,0,1,69,142,36764,8388 HILLYER  ST,566601
Andrea AQUINO,123153,0,2,75,143,22271,7517 GRAYSON  STREET,667805
Logan LAND,010152,0,1,70,,30563,6278 JEFFERSON  STREET,303027
Penelope MAYO,062464,0,2,55,116,29553,7200 FAIRFIELD  ST,575238
Daniela GIVENS,111572,0,4,72,128,30927,4455 SYCAMORE  ST,153487
Cristian MEYER,122644,0,2,46,144,36210,9012 HEATON PARK  STREET,700676
Adeline BOLIN,050669,0,3,55,97,31206,8137 ERIE  STREET,801750
Nickolas BARKSDALE,082540,0,4,56,146,37560,8208 LIVINGSTON  STREET,512488
Jack PUCKETT,052350,0,1,69,,27244,3548 GLENLAKE COMMONS  ST,431116
Derrick ABRAMS,110950,0,2,73,145,23438,8123 NORTHERN  ST,869975
Helen NEWBERRY,013077,0,3,58,140,31496,8174 FENWAY  STREET,357227
Genesis MCLEOD,101864,0,3,,128,28720,1346 ATLANTA  ST,289638
Donovan BOLES,112063,0,4,74,181,35785,1244 OAK  ST,776027
Keegan MCCARTHY,092655,0,2,57,139,38326,1773 HEATHERDOWN  ST,739511
Quincy MULLER,032447,0,2,55,120,24963,8322 KATHRYN  ST,177853
Perla MULLER,050462,0,1,63,99,30663,2299 3RD  STREET,688376
Paris CROSBY,012375,0,1,44,,36617,3781 MEDLOCK  ST,792911
Dayanara HUNTLEY,042041,0,3,,,38862,6593 HEATON PARK  ST,604971
Cassandra PUTNAM,081872,0,4,45,,27254,4180 BROWER  STREET,167331
Trent GALLOWAY,082551,0,3,77,176,23469,2957 SPRINGDALE  STREET,209826
Logan ADAMS,122272,0,2,91,,26866,4840 WOODFERN  ST,136983
Daisy CULLEN,082740,0,2,,162,31830,5479 CARTER  STREET,775316
Helen SPENEC,051943,0,4,,111,26004,5190 LEYDEN  STREET,269845
Ian MYLES,103055,0,1,66,89,31435,6772 ATLANTA  STREET,141097
Carlos BEAULIEU,070868,0,2,,138,30337,5193 EMERSON  ST,252948
Dayanara LYLE,022740,0,4,60,138,21610,3047 PARK  ST,552454
Kyla WHITTAKER,102143,0,3,60,122,22143,3472 ARBOR WAY  STREET,588825
Hailey BRAND,031579,0,1,,,35676,5751 VICKERS  ST,793081
Jamari AYRES,083152,0,1,75,,29808,3526 CALLAWAY  ST,544897
Amaya REGAN,090249,0,4,74,155,31295,7147 JEFFERSON  ST,526495
Trey FAUST,100182,0,1,,112,37795,8626 GREENWOOD  ST,778000
Kailyn WYLIE,111475,0,3,,,28167,7868 JACKSON  ST,214754
Melanie WALLIS,021584,0,3,,154,34744,1547 BRUTON  STREET,798027
Iris KENDRICK,031662,0,4,65,115,27791,5726 ZOAR  ST,265540
Osvaldo RATLIFF,081376,0,1,69,181,31478,6441 RIDLEY HOWARD  ST,493847
Kaden JACOB,022643,0,1,64,104,22853,4901 MONTICELLO  ST,807690
Mckenna BALL,111358,0,1,62,153,22266,8532 WOODBURY  STREET,392577
Kobe MUNOZ,011154,0,1,62,113,25488,4229 TALLEY  STREET,892558
Aaron CLOUD,101448,0,3,64,,34599,4244 LANDOVER  STREET,786623
Katelynn SCOTT,080245,0,3,,161,32256,8954 VIVIAN  ST,809545
Bryson EMERSON,012656,0,2,,111,34713,7388 FELD  ST,825766
Sofia LOMBARDI,010741,0,1,77,162,26834,3411 GLENLAKE COMMONS  ST,232394
Colby HIGGINS,040880,0,1,70,187,34994,3636 MAXWELL  STREET,404863
Emerson DRAPER,012567,0,1,,133,33890,1908 GORDON  ST,470651
Charlie SOSA,071977,0,3,,,20098,2971 CAMBRIDGE  ST,864821
Maxwell LANCASTER,071666,0,4,,156,22622,1459 WOODVIEW  STREET,863809
Kaydence LOWERY,050356,0,4,48,96,20780,318 PINECREST  ST,327559
Alyssa DILLON,082040,0,4,56,122,27778,7073 PATTILLO  ST,792355
Dulce BYRNE,031645,0,4,44,123,24138,8044 LEYDEN  ST,163684
Jose ISBELL,052373,0,1,73,128,34688,7860 WILLIAMS  ST,857278
Breanna WELLER,112545,0,4,74,142,38819,9028 CHARTER  ST,780551
Douglas URBAN,080579,0,1,,123,25573,5909 OAKHURST  STREET,472725
Mckenna HAMMONS,091246,0,2,71,145,28454,9644 POPE  STREET,704754
Emilia KERNS,090778,0,3,84,196,30905,7359 PONCE DE LEON  ST,419775
Kailey DUPRE,100458,0,1,,,35477,1239 OLE ANSLEY  STREET,567210
Damon PATTEN,040263,0,3,93,164,26981,5369 POPE  STREET,466985
Eli CRUZ,012555,0,1,54,110,28126,516 WILTSHIRE  ST,145516
Alexander TAPIA,081559,0,4,75,188,23078,5861 WOODLAWN  STREET,677514
Saniya GREENBERG,120952,0,2,72,152,36932,4921 VIVIAN  STREET,548561
Javier BROWER,033062,0,1,49,131,28677,3154 RIO  STREET,440747
Kassidy SNEED,120354,0,3,83,180,29735,798 REGENCY PATH  ST,431421
Holden MOSLEY,040168,0,2,69,146,26415,9174 FRANKLIN  STREET,851302
Stella PEMBERTON,080178,0,3,45,94,33859,9712 COLLEGE  ST,325217
Melody KAUFMAN,052680,0,4,66,126,24585,6011 WESTCHESTER  STREET,786965
Gianna BURKHART,041263,0,3,69,158,34761,4947 PENSDALE  STREET,771838
Abigail BEAL,100871,0,4,59,92,25897,363 MEDLOCK  ST,430145
Ryan MUNCY,070451,0,1,75,170,24046,7938 STERLING  ST,827071
Alec MCNUTT,110357,0,2,59,98,25482,4292 GARDEN  ST,801856
Rodney SEITZ,123180,0,3,58,142,34008,4194 COLLEGE  ST,350655
Rachael STRINGER,042067,0,3,58,105,33791,682 KINGS  STREET,335411
Cash GEE,111960,0,3,,138,21127,8255 HICKORY  ST,588522
Jazlyn SINGH,043047,0,1,79,,23766,4933 ADAIR  STREET,897094
Brianna JARRETT,020879,0,4,61,115,20548,4981 COLLEGE  ST,808027
Raquel VEGA,050862,0,3,65,121,27062,2433 BARRY  ST,532084
Josue BEEBE,092647,0,4,69,174,27120,8191 ASHBURY  ST,593003
Kobe HOYT,112668,0,2,74,160,22023,8222 UPLAND  ST,729487
Gael NEELY,080840,0,4,66,107,34577,2899 GENEVA  ST,358530
Alissa MIXON,022247,0,4,,156,27544,1281 BRIDLEWOOD  STREET,675617
Angel SCHELL,051951,0,4,57,117,34117,5208 PARK  STREET,745898
Delilah SNEED,121283,0,2,,151,,,602903
Ryan INGRAM,021183,0,3,77,170,25058,4456 PARKSIDE  ST,692990
Perla MEJIA,111767,0,2,60,157,38076,6883 RIDLEY HOWARD  ST,584896
William HOWE,103045,0,1,59,117,22644,2273 COLUMBIA  ST,159323
Walker SINGLETARY,092762,0,2,,168,24231,3756 FAIRVIEW  STREET,405424
Jake BARGER,112180,0,3,70,118,31090,1206 FAIRVIEW  ST,757856
Scarlett DURANT,061772,0,4,,104,24496,9390 REGENCY PATH  STREET,367695
Daniella CLINTON,070874,0,2,65,182,33923,5814 MEDLOCK  STREET,592131
Erin YANEZ,041554,0,1,65,147,33935,9291 SUPERIOR  STREET,637352
Myles DUCKWORTH,092576,0,1,67,140,26493,7949 FENWAY  ST,530622
Nicolas OUELLETTE,111145,,3,,140,36911,1264 PHARR  ST,808769
Viviana WOLFORD,052484,0,3,86,129,20062,3437 WILBURN  ST,102538
April BAER,100166,0,1,55,147,38673,5865 ANSLEY  ST,331348
Melissa ARELLANO,112458,0,1,75,,31831,2302 HAROLD BYRD  ST,133604
Donovan HILLMAN,081473,0,2,,,27852,9663 HEATHERDOWN  ST,258803
Heather HAWLEY,012579,0,3,81,,26523,5397 HURON  STREET,136384
Griffin SAYLOR,083174,0,3,68,144,37267,8938 ARCADIA  ST,344346
Frank BURT,020155,0,1,,,38147,6931 CARTER  STREET,541148
Danika KIMBROUGH,030982,0,4,,114,34631,2641 VILLAGE WALK  ST,160317
Andrea ROBERTS,061546,0,1,74,151,22946,7851 JEFFERSON SQUARE  ST,770662
Autumn OLVERA,121553,0,2,60,133,22625,9561 MAPLE  ST,830022
Danica WATSON,081954,0,3,75,152,,,862146
Jasper GAMEZ,061271,0,3,64,120,36862,6557 HICKORY  STREET,888641
Easton WEEKS,052440,0,2,50,104,36732,7634 REGENCY PATH  STREET,458388
Dillon COON,092467,0,3,57,183,34286,8468 CHEVELLE  ST,866053
Malik CHAVEZ,020541,0,4,56,,26276,4362 WOODVIEW  ST,620641
Jordan JOHNS,020562,0,1,59,100,37871,5578 GREYLOCK  STREET,336389
Keegan TILLEY,081280,0,1,94,183,39486,6195 FAIRPARK  STREET,185018
Elise RATLIFF,052873,0,2,72,190,20546,5875 CLARION  STREET,792767
Ezekiel HOLM,053151,0,3,58,141,23101,8679 PHARR  STREET,752018
Tessa CASILLAS,110369,0,2,,171,25411,3863 MAXWELL  ST,285742
Erin TOMLIN,110375,0,4,79,176,34269,3446 FAIRVIEW  STREET,338110
Aubree KNAPP,030883,0,1,,,29600,834 RIDLEY  STREET,745731
Karina WHITFIELD,022370,0,3,76,160,26491,6474 CLAIREMONT  STREET,856327
Rafael WYATT,010667,0,3,59,110,26641,2685 RIO  STREET,636502
Jimmy HASTINGS,050182,0,3,74,181,28064,2826 1ST  STREET,647959
Alaina LOWRY,041743,0,4,,159,26454,4180 OLDFIELD  STREET,443597
Shayla KENNEDY,052353,0,2,65,,32566,5691 LENORE  STREET,599368
Tanner AVILA,121170,0,4,64,141,34316,4736 STERLING  ST,821387
Cassidy HOWLAND,090850,0,1,76,159,30321,3183 DERRYDOWN  ST,734402
Noel HINSON,041060,0,3,62,160,37129,600 WOODVIEW  ST,430056
Selena GIL,043041,0,2,62,93,39630,9066 KIRK  STREET,831894
Diamond TOWNSEND,112741,0,1,,,27142,403 COTTONWOOD  ST,820223
Oliver DYSON,042157,0,4,55,,39840,6925 PHARR  STREET,693591
Aldo HIGGINBOTHAM,031662,0,1,64,146,28692,8914 EVANS  STREET,563006
Ariana HUNTER,013043,0,2,,,21867,344 SUPERIOR  STREET,562769
Nadia GILLETTE,061661,0,2,60,124,36022,5646 PARK  ST,826272
Karen SALMON,080744,0,4,56,145,37390,445 MIMOSA  STREET,499363
Ryan HARMON,082675,0,3,56,150,39351,3056 STERLING  ST,678278
Veronica OVERSTREET,061557,0,1,69,131,22120,3591 PENSDALE  STREET,338028
Eduardo HOWELL,051843,0,3,61,141,39063,2713 DOGWOOD  ST,899138
Kyleigh AGUILAR,051679,0,2,67,168,38355,1138 COVENTRY  ST,160887
Aniyah LINCOLN,042657,0,3,59,122,28918,6220 WILTSHIRE  STREET,333120
Cheyanne BUENO,081675,0,4,67,157,38433,7035 CLAIREMONT  STREET,647546
Delaney FAULK,080772,0,1,78,185,25602,4678 FREEMAN  STREET,861719
Bryce NOEL,012175,0,1,48,,36883,4169 OAKLAND  STREET,775224
Macy GALLO,062156,0,1,79,,29848,4143 GENERAL DELIVERY  STREET,315639
Silas DURANT,032554,0,2,67,131,37734,4703 ANSLEY  ST,867179
Walter KUYKENDALL,031780,0,3,,136,23514,9216 5TH  ST,280850
Roger MARVIN,111967,0,3,65,,27926,3313 HAROLD BYRD  ST,218720
Makenzie COLBY,062041,0,1,80,175,24446,3094 KATHRYN  STREET,739815
Sebastian SMILEY,121275,0,4,60,104,35063,9052 MCDONOUGH  STREET,218215
Ramon MUSE,072968,0,2,76,185,22423,2179 FRANKLIN  STREET,672077
Derek WATERS,092679,0,2,,150,30023,1453 CHARLESTON OAKS  ST,292273
Brayden MOORE,032849,0,1,81,146,24548,2501 LUCERNE  STREET,613516
Tanner KELSEY,031962,0,4,69,140,24951,7214 ERIE  STREET,809768
Roman CHASE,062644,0,4,75,200,30598,933 JEFFERSON SQUARE  STREET,630598
Skylar MONAHAN,112860,0,4,64,141,31172,8926 ADAMS  ST,297430
Norah BARNHART,020680,0,3,55,120,24917,3402 MANOR  STREET,453905
Caroline PYLE,040149,0,2,49,,24828,8543 1ST  ST,496900
Liam CARDWELL,110565,0,1,63,139,20454,8803 SENECA  ST,619096
Eric OAKLEY,041146,0,3,,125,24949,7404 MARY GAY  STREET,512199
Lucia SWEET,052253,0,1,,,28538,2792 DERRYDOWN  STREET,131709
Christina LOVE,022441,0,3,64,140,30176,9871 RUSSELL  STREET,577946
Katie MCKAY,090565,0,1,78,154,34458,1747 BUCHER  STREET,446313
Arturo KIRBY,080959,0,1,,174,36085,5972 GENERAL DELIVERY  STREET,250281
Sydney YBARRA,041765,0,2,56,136,29036,9975 GLENDALE  ST,165173
Gianna WRIGHT,092673,0,4,72,,30260,8781 DRIFTWOOD  STREET,184375
MichelleD ALTON,051785,0,1,73,148,38304,2387 POPLAR LANE  STREET,615385
Bennett CHADWICK,112952,0,2,57,119,35769,2391 WALKER  STREET,426002
Lana MCARTHUR,110183,0,1,,122,25016,1356 WOODFERN  STREET,756597
Mercedes HICKEY,072342,0,1,72,,21800,8041 CALLAWAY BUILDING  STREET,739579
Trevor ELLSWORTH,022663,0,1,68,178,21264,2878 DERRYDOWN  ST,646357
Natasha DUNHAM,061964,0,2,65,126,22502,8522 SWANTON  ST,735090
Lincoln SEXTON,071774,0,3,,102,39833,5172 MADISON  ST,206756
Daniella RAGSDALE,082166,0,1,67,169,21669,362 CALLAWAY  STREET,394922
Madilyn MARCUS,031273,0,3,66,128,22048,8690 TANYARD CREEK  STREET,811786
Ruth SHAVER,,0,1,77,117,24823,6768 OLYMPIC  ST,532030
Adrianna DOVE,081273,0,3,,120,38591,3805 CALLAWAY  ST,429748
Sandra CHOW,050250,0,1,50,98,38240,3189 FITZGERALD  ST,726269
Edwin STEWART,062272,0,3,55,80,31803,3556 INMAN  STREET,760246
Kristina JUDE,081660,0,3,,124,34673,4341 HAROLD BYRD  STREET,447009
Julius SHARPE,011043,0,3,,171,20005,5989 RIO  STREET,312594
Kaylee BRIGHT,012962,0,4,45,,33101,4533 MADISON  STREET,158007
Ayden COREY,112050,0,1,,93,26745,9226 WOODFERN  ST,604981
Garrett WILLETT,100661,0,1,83,,36743,9975 GLENN  ST,435073
Levi EARL,090668,0,3,69,,34057,6510 PENSDALE  STREET,611504
Liliana ELDRIDGE,050971,0,2,80,,35041,5614 OAKLAND  STREET,255871
Jadyn CARBONE,031557,0,3,57,139,38645,1516 RENFROE  ST,172844
Sydney PEASE,080947,0,2,50,88,28979,1542 GLENN  ST,633590
Jesse PETERSON,122546,0,4,45,112,32283,6299 GARDEN  STREET,223498
Nasir SKELTON,112044,0,4,73,188,39940,7507 ROCKLAND  ST,892901
Ramon ALLEN,040261,0,3,,138,23170,7147 WOODHAVEN  STREET,856022
Madelynn POINDEXTER,110850,0,3,,,29010,805 LAMONT  STREET,511947
Dayanara OLDHAM,122641,0,2,66,102,31473,288 FORKNER  STREET,628774
Reese DUBOIS,091957,0,4,,129,20092,7485 ANSLEY  STREET,513744
Christopher BRADEN,031859,0,2,58,89,23648,8206 GENERAL DELIVERY  ST,438791
Kaiden SHELDON,111912,0,4,74,125,32721,2386 DEVONSHIRE  ST,871158
Fabian LEHMAN,061075,0,1,79,184,27717,3865 SWANTON  ST,582820
Madelyn KATZ,031768,0,3,72,186,31404,2768 JOHNSON  ST,418717
Demetrius VALLE,050385,0,4,64,127,36110,1457 ZOAR  ST,719784
Brett SCHREIBER,121377,0,4,51,,23129,6166 ERIE  STREET,272525
Samuel RUTH,121156,0,4,59,,25686,5117 MCKINNON  STREET,402774
Joshua BLACK,091852,0,4,72,150,30939,1420 APPIAN  STREET,527351
Aniyah BERGMAN,121053,0,4,63,,25389,4613 WOODLAWN  STREET,157350
Caleb MAIN,022060,0,2,49,109,24205,7237 INMAN  STREET,711587
Jackson PATTERSON,111980,0,1,82,,37766,9705 OAKHURST COMMON  STREET,164320
Evelyn LORENZ,021658,0,1,71,,27329,7611 CHARTER  STREET,371881
Layla BARBOSA,080560,0,3,46,127,28612,6110 MCCLEAN  ST,393259
Abigail TRAYLOR,042883,0,1,77,151,26398,7789 MIDWAY  STREET,793868
Ryder CUNNINGHAM,072947,0,1,70,142,32435,7355 FOWLER  ST,648304
Clara OROZCO,012954,0,3,82,151,34665,4846 KIRK  STREET,402041
Shannon HICKS,091873,0,1,92,153,24033,9221 PARKWOOD  ST,867344
Zion STAMPER,010870,0,2,56,108,31632,2797 FENWAY  ST,312929
Callie RUBIO,092274,0,1,66,166,34259,5278 PONCE DE LEON  ST,653716
Hudson CLARKE,071952,0,3,68,,30474,8071 POPLAR LANE  STREET,750145
Spencer COURTNEY,102858,0,1,58,119,29673,6434 PEAVINE CREEK  STREET,446282
Isaiah WALDEN,022281,0,2,52,126,34223,3799 DEERWOOD  ST,440912
Griffin WESLEY,040972,0,2,80,,33752,8618 CANDLER POINTE  ST,575084
saiah GIRARD,041663,0,1,59,120,28493,3559 HAMPTON  ST,267826
Nasir NEGRON,051541,0,2,,153,27791,4893 VIDAL  ST,767611
Sean WARE,080361,0,1,65,130,26676,6660 RUSSELL  ST,117524
Xavier COSBY,082255,0,2,76,145,22091,3367 JOHNSON  STREET,336172
Caroline CHONG,022648,0,1,64,135,20184,4848 WOODFERN  ST,509652
Kiara LEHMAN,092875,0,1,84,161,28225,2079 GRAYSON  ST,346911
Jayda BURKETT,032866,0,1,74,105,32443,104 UNDERWOOD  ST,544748
Carl BLACKBURN,041280,,1,56,135,32715,2080 KATHRYN  ST,663154
Ty LAND,101955,0,1,76,188,31366,4551 CONWAY  STREET,515504
Ava ZIMMER,081950,0,2,76,150,26984,3345 KIRK  ST,380853
Ivan POWERS,032061,0,1,74,,38725,7980 GREEN  ST,535920
Nia MCCOLLUM,111261,0,1,66,162,39667,1458 GREYLOCK  STREET,310557
Amir HANEY,021155,0,4,50,80,30092,173 KIRK  STREET,413673
Carolina FRITZ,120785,0,3,65,,20287,5059 HILLCREST  ST,117202
Anderson XIONG,031951,0,4,74,167,39564,7061 ASHFIELD  ST,688940
Reese TILLEY,021458,0,1,61,,24642,4276 ASHFIELD  STREET,616012
Ivan RICE,042648,0,4,74,145,27329,1393 ARBOR WAY  ST,499667
Cooper MAULDIN,081769,0,1,74,156,22093,1913 ERIE  STREET,274063
Spencer BECERRA,120176,0,1,73,155,28325,3090 KIRK CROSSING  STREET,494886
Rylan LOMBARDI,101756,0,1,65,,32210,2438 VILLAGE WALK  STREET,879465
Jackson AVERY,010380,0,4,72,,20184,4460 JACKSON  ST,772654
Santiago AMAYA,100780,0,2,63,156,23343,552 SYCAMORE RIDGE  ST,649917
Vivian DICKSON,041875,0,2,70,167,25218,644 CHEVELLE  STREET,203635
Greyson EBERT,101751,0,4,55,113,24472,3474 GARLAND  ST,104499
Samantha ROBLES,121483,0,1,65,117,36436,5466 MEDLOCK  STREET,684271
Mario STEVENS,101770,0,1,79,179,24633,4450 FREEMAN  ST,612813
Kameron MCALLISTER,102762,0,1,64,122,30241,9522 OAKHURST  ST,106224
Dylan HOLCOMB,081561,0,1,60,181,36363,7663 MIMOSA  ST,466259
Luis OGLESBY,083147,0,4,64,133,27559,481 CANDLER GROVE  STREET,329494
William MUNOZ,102245,0,2,61,170,36310,3317 PINEVIEW  STREET,263795
Marissa FONTENOT,080451,0,3,56,118,24653,8088 MIMOSA  ST,577424
Ellie ATKINS,010371,0,2,85,,21911,6062 HIGH GATE  ST,468088
Jadyn BOND,120480,0,3,83,,27713,3728 PONCE DE LEON  ST,320918
Jaelyn BREWER,041754,0,2,72,128,21815,1242 LUCERNE  STREET,578768
Jaylin MCCONNELL,080460,0,3,84,,24171,5070 LANSDOWNE  STREET,792508
Teagan NEWSOME,022643,,4,,139,37555,471 FREEMAN  STREET,393539
Jocelyn BURRIS,012784,0,3,61,110,20797,7949 LIVINGSTON  ST,263753
Skylar COBURN,100457,0,1,,116,25694,2046 FENWAY  STREET,673197
Breanna MCGINNIS,041047,0,2,65,,33614,2071 SWANTON  STREET,518267
Genesis NAVA,070663,0,4,74,156,29279,1262 CHEWNING  ST,515379
Kassandra HITCHCOCK,022248,0,3,89,155,27901,2440 MAPLE  ST,673654
Diamond NAVA,091880,0,4,,140,26768,7460 WILLIAMS  ST,611666
Christopher BECK,060458,0,4,56,141,28179,3205 HILLCREST  STREET,546024
Fatima VINCENT,010771,0,2,,162,20296,1971 GLENDALE  STREET,680114
Kathleen CARTWRIGHT,080360,0,4,,133,34486,5393 MOCKINGBIRD  ST,878398
Jayson WEBSTER,050562,0,3,50,125,25594,9601 ADAIR  ST,315280
Lauryn LOYD,021979,0,4,67,133,31654,7781 MONTGOMERY  STREET,317975
Rebekah HOUSER,081261,0,1,54,148,26566,8812 WHEATFIELDS  STREET,703971
Hayley EDMOND,092556,0,3,,114,29868,5984 GREEN  STREET,851534
Monica CHANEY,020451,0,1,57,127,24635,454 FAIRVIEW  ST,654247
Hanna WHALEN,041584,0,3,,,31889,2480 PINETREE  STREET,657875
Mya PUGH,051081,0,4,72,120,34904,8474 MAEDIRIS  ST,302622
Franklin FRYE,011579,0,2,65,143,27800,6892 WOODVIEW  STREET,257748
Juan WING,010782,0,4,57,,37046,3983 PENSDALE  STREET,597853
Jose CARRIER,020754,0,2,75,207,39044,5511 RIDLEY HOWARD  STREET,579324
Lorenzo ZEPEDA,062443,0,4,85,116,26758,8788 HILLYER  STREET,355903
Sandra DOVE,013077,0,2,71,136,34055,2662 CHURCH  ST,177257
Camryn REDD,031677,0,2,56,114,37790,6770 RENFROE  STREET,209655
Lane BURNHAM,061047,0,3,62,126,35672,6477 FAIRFIELD  STREET,188493
Kyla LAPOINTE,041369,0,1,55,97,23432,206 PENSDALE  STREET,212169
Jesus COTE,070483,0,2,80,,37382,5832 IRVIN  ST,592567
Edward HOLLAND,031750,0,2,74,149,32446,1661 CHAMPLAIN  ST,143369
Melany ESPINOSA,050278,0,4,,,34742,4171 FERNDALE  ST,494855
Kaden MUNIZ,062677,0,4,62,123,38155,1371 DEARBORN  STREET,617258
Jayda EMERY,031640,0,2,58,,29415,7464 1ST  ST,557060
Brandon CATES,073068,0,4,65,127,36762,5317 KNOB HILLS  ST,629611
Xander KENT,060171,0,4,55,110,20211,4377 HEATHERDOWN  STREET,259680
Brodie CHANG,061480,0,1,63,134,27595,8576 MOUNT VERNON  ST,697021
Douglas BETTS,013074,0,3,57,126,35413,6711 COURT  STREET,567465
Arthur ROMANO,042042,0,4,,,29787,2910 JOHNSON  ST,662850
Richard HULL,052479,0,2,55,,37204,8892 HOWARD  ST,329055
Sadie HUYNH,012943,0,4,,162,34702,7272 IRVIN  ST,231356
Stella WILLETT,062248,0,3,,,39240,3173 WALKER  ST,684039
Carter KAY,011958,0,3,53,124,34232,470 WOODLAND  STREET,185071
Alayna BRADEN,033177,0,2,67,157,37885,3456 GENERAL DELIVERY  STREET,138094
Natalie WILLOUGHBY,021643,0,3,68,145,38139,1401 GENERAL DELIVERY  ST,520215
Dane ARTIS,022378,0,1,65,135,32695,4797 PATE  ST,318816
Katie BENNETT,120464,0,3,79,142,38395,6437 GROVE  STREET,401800
Reese BETHEA,021259,0,3,64,,34378,5009 WEEKS  STREET,162259
Juliana GIVENS,112767,0,1,59,,32674,9506 PARK  ST,272701
Corey DARLING,102150,0,3,61,168,21402,5554 ASHWOOD  STREET,150982
Izabella NOE,071160,0,2,,151,20630,4540 FAYETTEVILLE  STREET,794157
Jonas CLEMONS,031754,0,2,,180,26064,9955 PINEHURST  STREET,383126
Sidney DOWLING,041360,0,1,56,110,23321,8091 PATE  STREET,289438
Edwin LOWE,062768,0,3,94,189,28758,791 BUCHER  STREET,275704
Melvin WORKMAN,013043,0,4,70,172,21465,2939 SWANTON  ST,100932
Axel HAND,041151,0,4,,166,21222,4244 VILLAGE  ST,516374
Daniel LAYTON,010184,0,1,,145,24664,8153 BREENS  STREET,825298
Miguel NORTH,102450,0,3,65,166,26096,7857 WOODVIEW  STREET,200233
Grady BLOOM,120563,0,4,,,30297,7328 RUSSELL  STREET,875070
Alissa ABRAHAM,110555,0,3,63,,25530,1834 AVERY  ST,444846
Mallory SHEARER,060578,0,2,72,191,30787,8884 HICKORY  ST,297946
Morgan YOUNGBLOOD,121952,0,4,67,128,25547,1438 RIDLEY  STREET,625153
Kingston SHIPMAN,080572,0,2,75,,33399,5372 WOODLAND  STREET,608924
den ROWE,032275,0,4,60,132,23789,5308 OAK  STREET,426689
