firsrt_name,last_name,DOB,sex,race,height,weight,ZIP,street,defect_code
Saniya,GREENBERG,12091952,0,2,72,179,36932,4921 VIVIAN  STREET,344,
Javier,BROWER,03301962,0,1,60,131,28677,3154 RIO  STREET,423,
Kassidy,SNEED,12031954,0,3,79,156,29735,798 REGENCY PATH  ST,355,
Holden,MOSLEY,04011968,0,2,72,146,33173,7969 HILLDALE  ST,222,
Stella,PEMBERTON,08011978,0,3,57,77,33859,9712 COLLEGE  ST,124,
Melody,KAUFMAN,05261980,0,,66,148,24585,6011 WESTCHESTER  STREET,184,
Gianna,BURKHART,04121963,0,3,69,147,28529,9945 CONWAY  ST,351,
Abigail,BEAL,10081971,0,4,,111,34216,6437 CHARTER  ST,233,
Ryan,MUNCY,07041951,0,1,75,191,24046,7938 STERLING  ST,142,
Alec,MCNUTT,11031957,0,2,,105,25482,4292 GARDEN  ST,302,
Rodney,SEITZ,12311980,0,3,58,107,22162,7514 POPLAR  STREET,468,
Rachael,STRINGER,04201967,0,3,60,97,37424,4680 MAPLE  STREET,481,
Cash,GEE,11191960,0,3,,117,31203,250 FAIRVIEW  ST,297,
Jazlyn,SINGH,04301947,0,1,79,130,23766,4933 ADAIR  STREET,257,
Brianna,JARRETT,02081979,0,4,61,119,20548,4981 COLLEGE  ST,327,
Raquel,VEGA,05081962,0,3,65,106,27062,2433 BARRY  ST,338,
Josue,BEEBE,09261947,0,4,69,146,27120,8191 ASHBURY  ST,436,
Kobe,HOYT,11261968,0,2,74,161,25966,9323 KIRK  ST,499,
Gael,NEELY,08081940,0,4,55,117,34577,2899 GENEVA  ST,452,
Alissa,MIXON,02221947,0,4,69,179,21529,2706 ASHWOOD  STREET,111,
Angel,SCHELL,05131957,0,4,60,128,34117,5208 PARK  STREET,298,
Delilah,SNEED,12121983,0,2,72,,27996,7643 JEFFERSON SQUARE  ST,426,
Ryan,INGRAM,02111983,0,3,,142,25058,4456 PARKSIDE  ST,299,
Perla,MEJIA,11171967,0,2,,,38076,6883 RIDLEY HOWARD  ST,430,
William,HOWE,10301945,0,1,59,117,33129,4355 POPLAR  ST,296,
Walker,SINGLETARY,09271962,0,2,74,144,24231,3756 FAIRVIEW  STREET,148,
Jake,BARGER,11211980,0,3,70,,20074,636 EVANS  STREET,478,
Scarlett,DURANT,06171972,0,4,56,130,24496,9390 REGENCY PATH  STREET,368,
Daniella,CLINTON,07081974,0,2,69,,26380,605 HANCOCK  ST,254,
Erin,YANEZ,04151954,0,1,65,117,33935,9291 SUPERIOR  STREET,158,
Myles,DUCKWORTH,09251976,0,,67,140,26493,7949 FENWAY  ST,302,
Nicolas,OUELLETTE,11111945,0,3,67,,36911,1264 PHARR  ST,417,
Viviana,WOLFORD,05241984,0,3,74,128,20062,3437 WILBURN  ST,432,
April,BAER,10011966,0,1,69,147,38673,5865 ANSLEY  ST,430,
Melissa,ARELLANO,11241958,0,1,75,154,31831,2302 HAROLD BYRD  ST,456,
Donovan,HILLMAN,08141973,0,2,61,118,26577,6981 HUNTER  ST,322,
Heather,HAWLEY,01251979,0,3,68,,26523,5397 HURON  STREET,428,
Griffin,SAYLOR,08311974,0,3,,144,37267,8938 ARCADIA  ST,217,
Frank,BURT,02011956,0,1,75,139,38147,6931 CARTER  STREET,370,
Danika,KIMBROUGH,03091982,0,4,61,114,20237,9560 WOODVIEW  ST,421,
Andrea,ROBERTS,06151946,0,1,74,137,22946,7851 JEFFERSON SQUARE  ST,319,
Autumn,OLVERA,12151953,0,2,71,,20994,149 COMMERCE  ST,472,
Danica,WATSON,08191954,0,3,75,182,,,202,
Jasper,GAMEZ,06121971,0,3,58,,36862,6557 HICKORY  STREET,406,
Easton,WEEKS,05241940,0,2,57,,36732,7634 REGENCY PATH  STREET,120,
Dillon,COON,09241967,0,3,72,183,20497,375 FAIRFIELD  ST,218,
Malik,CHAVEZ,02051941,0,4,,,26276,4362 WOODVIEW  ST,474,
Jordan,JOHNS,02051962,0,1,59,103,37871,5578 GREYLOCK  STREET,114,
Keegan,TILLEY,08121980,0,1,,206,39486,6195 FAIRPARK  STREET,169,
Elise,RATLIFF,05281973,0,2,72,190,20546,5875 CLARION  STREET,118,
Ezekiel,HOLM,05311951,0,3,,,28480,8331 HILL  ST,373,
Tessa,CASILLAS,11031969,0,2,,171,25411,3863 MAXWELL  ST,288,
Erin,TOMLIN,11031975,0,4,,,34868,6414 SPRINGDALE  STREET,307,
Aubree,KNAPP,03081983,0,1,,200,27578,7025 MEDLOCK  ST,155,
Karina,WHITFIELD,02231970,0,3,76,146,26491,6474 CLAIREMONT  STREET,168,
Rafael,WYATT,01061967,0,3,59,110,26641,2685 RIO  STREET,113,
Jimmy,HASTINGS,05011982,0,3,69,,22694,1493 CHELSEA  STREET,329,
Alaina,LOWRY,04171943,0,4,77,,25673,9550 VILLAGE  STREET,341,
Shayla,KENNEDY,05231953,0,2,64,113,32566,5691 LENORE  STREET,320,
Tanner,AVILA,12111970,0,4,64,,21831,5144 BUCHER  STREET,238,
Cassidy,HOWLAND,09081960,0,1,,129,21155,8227 MAEDIRIS  STREET,265,
Noel,HINSON,04101960,0,3,77,166,21241,452 WIMBERLY  ST,495,
Selena,GIL,04301941,0,2,60,88,39630,9066 KIRK  STREET,210,
Diamond,TOWNSEND,11271941,0,1,67,152,27142,403 COTTONWOOD  ST,471,
Oliver,DYSON,04211957,0,4,,108,20549,6197 CONWAY  STREET,204,
Aldo,HIGGINBOTHAM,03161962,0,1,64,120,28692,8914 EVANS  STREET,244,
Ariana,HUNTER,01301943,0,2,66,154,33129,4821 BUCHANAN  ST,117,
Nadia,GILLETTE,06161961,0,2,60,124,36022,5646 PARK  ST,122,
Karen,SALMON,08071944,0,4,69,164,36818,1531 GLENLAKE COMMONS  STREET,443,
Ryan,HARMON,08261975,0,,,,39351,3056 STERLING  ST,387,
Veronica,OVERSTREET,06151957,0,1,,112,22120,3591 PENSDALE  STREET,381,
Eduardo,HOWELL,05181943,0,3,61,161,31598,3536 BROWN  ST,382,
Kyleigh,AGUILAR,05161979,0,2,78,168,21547,3520 CRAIGIE  ST,473,
Aniyah,LINCOLN,04261957,0,3,59,122,28918,6220 WILTSHIRE  STREET,372,
Cheyanne,BUENO,08161975,0,4,,131,38433,7035 CLAIREMONT  STREET,349,
Delaney,FAULK,08071972,0,1,78,211,30882,1251 PARKSIDE  ST,356,
Bryce,NOEL,01211975,0,1,60,,22577,1888 HAMPTON  ST,445,
Macy,GALLO,06211956,0,1,79,161,22776,5376 DREXEL  ST,176,
Silas,DURANT,03251954,0,2,,,37734,4703 ANSLEY  ST,303,
Walter,KUYKENDALL,03171980,0,3,70,150,23514,9216 5TH  ST,242,
Roger,MARVIN,11191967,0,3,59,129,27926,3313 HAROLD BYRD  ST,484,
Makenzie,COLBY,06201941,0,1,,,36764,7223 CANDLER  STREET,378,
Sebastian,SMILEY,12121975,0,4,,156,23748,4267 OAKVIEW  ST,322,
Ramon,MUSE,07291968,0,2,76,202,22423,2179 FRANKLIN  STREET,499,
Derek,WATERS,09261979,0,2,72,,20290,3281 CAMBRIDGE  ST,209,
Brayden,MOORE,03281949,0,1,68,159,37282,9011 WINN  STREET,187,
Tanner,KELSEY,03191962,0,4,69,,24951,7214 ERIE  STREET,297,
Roman,CHASE,06261944,0,4,75,179,36992,4294 GENEVA  STREET,469,
Skylar,MONAHAN,11281960,0,4,58,152,23589,2247 CHAMPLAIN  STREET,385,
Norah,BARNHART,02061980,0,3,55,120,,,479,
Caroline,PYLE,04011949,0,2,62,,24828,8543 1ST  ST,318,
Liam,CARDWELL,11051965,0,1,62,92,20454,8803 SENECA  ST,403,
Eric,OAKLEY,04111946,0,3,60,145,24949,7404 MARY GAY  STREET,134,
Lucia,SWEET,05221953,0,1,63,101,28538,2792 DERRYDOWN  STREET,112,
Christina,LOVE,02241941,0,3,77,140,22056,3547 SPRING  STREET,452,
Katie,MCKAY,09051965,0,1,78,200,34458,1747 BUCHER  STREET,372,
Arturo,KIRBY,08091959,0,1,,208,31647,8570 ATLANTA  ST,213,
Sydney,YBARRA,04171965,0,2,70,,31517,2222 RIDLEY  ST,370,
Gianna,WRIGHT,09261973,0,4,62,130,30260,8781 DRIFTWOOD  STREET,139,
Michelle,DALTON,05171985,0,1,73,,38304,2387 POPLAR LANE  STREET,469,
Bennett,CHADWICK,11291952,0,2,,119,29410,1700 EVANS  STREET,283,
Lana,MCARTHUR,11011983,0,1,61,,29548,1704 DEKALB INDUSTRIAL  STREET,440,
Mercedes,HICKEY,07231942,0,1,66,,25794,2365 HICKORY  ST,428,
Trevor,ELLSWORTH,02261963,0,1,,,21264,2878 DERRYDOWN  ST,494,
Natasha,DUNHAM,06191964,0,2,62,,22502,8522 SWANTON  ST,263,
Lincoln,SEXTON,07171974,0,3,,,28349,4039 BROOKS  STREET,332,
Daniella,RAGSDALE,08211966,0,1,,141,22139,7252 GREENWOOD  STREET,424,
Madilyn,MARCUS,03121973,0,3,66,107,22048,8690 TANYARD CREEK  STREET,448,
Ruth,SHAVER,07041969,0,1,73,,29155,1498 SHADOWMOOR  ST,381,
Adrianna,DOVE,08121973,0,3,60,110,38591,3805 CALLAWAY  ST,313,
Sandra,CHOW,05021950,0,1,58,,38240,3189 FITZGERALD  ST,243,
Edwin,STEWART,06221972,0,3,55,95,31803,3556 INMAN  STREET,219,
Kristina,JUDE,08161960,0,3,,,34673,4341 HAROLD BYRD  STREET,166,
Julius,SHARPE,01101943,0,3,77,189,20005,5989 RIO  STREET,388,
Kaylee,BRIGHT,01291962,0,4,57,,33101,4533 MADISON  STREET,208,
Ayden,COREY,11201950,0,1,60,140,26745,9226 WOODFERN  ST,304,
Garrett,WILLETT,10061961,0,1,,163,23781,8475 GLENLAKE COMMONS  STREET,231,
Levi,EARL,09061968,0,3,69,136,34057,6510 PENSDALE  STREET,356,
Liliana,ELDRIDGE,05091971,0,2,,122,35041,5614 OAKLAND  STREET,494,
Jadyn,CARBONE,03151957,0,3,,109,38645,1516 RENFROE  ST,394,
Sydney,PEASE,08091947,0,2,,94,27276,2877 BROWN  ST,271,
Jesse,PETERSON,12251946,0,4,,112,32283,6299 GARDEN  STREET,355,
Nasir,SKELTON,11201944,0,4,73,143,39940,7507 ROCKLAND  ST,331,
Ramon,ALLEN,04021961,0,3,62,136,33722,3655 BRIDLEWOOD  ST,486,
Madelynn,POINDEXTER,11081950,0,3,59,134,29010,805 LAMONT  STREET,210,
Dayanara,OLDHAM,12261941,0,2,,,31473,288 FORKNER  STREET,463,
Reese,DUBOIS,09191957,0,4,63,129,22278,7421 PATTILLO  ST,406,
Christopher,BRADEN,03181959,0,2,58,112,20459,3561 MEDLOCK  STREET,425,
Kaiden,SHELDON,11131972,0,4,,175,32721,2386 DEVONSHIRE  ST,475,
Fabian,LEHMAN,06101975,0,1,79,184,27717,3865 SWANTON  ST,295,
Madelyn,KATZ,03171968,0,3,72,124,31404,2768 JOHNSON  ST,112,
Demetrius,VALLE,05031985,0,4,,127,36110,1457 ZOAR  ST,143,
Brett,SCHREIBER,12131977,0,4,59,110,23129,6166 ERIE  STREET,229,
Samuel,RUTH,12111956,0,4,56,109,25686,5117 MCKINNON  STREET,122,
Joshua,BLACK,09181952,0,4,,,21360,4752 SWANTON HILL  STREET,419,
Aniyah,BERGMAN,12101953,0,4,,,28298,3723 CREEKWOOD  ST,456,
Caleb,MAIN,02201960,0,2,62,134,24205,7237 INMAN  STREET,333,
Jackson,PATTERSON,11191980,0,1,69,147,29851,1730 OLYMPIC  STREET,446,
Evelyn,LORENZ,02161958,0,1,62,147,27329,7611 CHARTER  STREET,177,
Layla,BARBOSA,08051960,0,3,58,,28612,6110 MCCLEAN  ST,468,
Abigail,TRAYLOR,04281983,0,1,77,160,29986,1106 CONWAY  ST,477,
Ryder,CUNNINGHAM,07291947,0,1,70,146,32435,7355 FOWLER  ST,489,
Clara,OROZCO,01291954,0,3,69,138,21905,9649 OAK  ST,153,
Shannon,HICKS,09181973,0,1,77,141,38820,8641 VIDAL  STREET,381,
Zion,STAMPER,01081970,0,2,56,86,37503,3912 LAREDO  STREET,154,
Callie,RUBIO,09221974,0,1,66,139,23424,5405 BUCHER  ST,318,
Hudson,CLARKE,07191952,0,3,58,130,30474,8071 POPLAR LANE  STREET,287,
Spencer,COURTNEY,10281958,0,1,,139,29673,6434 PEAVINE CREEK  STREET,239,
Isaiah,WALDEN,02221981,0,2,60,162,34223,3799 DEERWOOD  ST,292,
Griffin,WESLEY,04091972,0,2,75,,33752,8618 CANDLER POINTE  ST,458,
Isaiah,GIRARD,04161963,0,1,59,120,28493,3559 HAMPTON  ST,206,
Nasir,NEGRON,05151941,0,2,59,109,27791,4893 VIDAL  ST,413,
Sean,WARE,08031961,0,1,65,156,39618,1206 CANDLER OAKS  ST,292,
Xavier,COSBY,08221955,0,2,76,145,22091,3367 JOHNSON  STREET,336,
Caroline,CHONG,02261948,0,1,64,132,21338,1438 CREEKWOOD  ST,231,
Kiara,LEHMAN,09281975,0,1,73,193,33559,9098 MADISON  STREET,212,
Jayda,BURKETT,03281966,0,1,72,132,32443,104 UNDERWOOD  ST,387,
Carl,BLACKBURN,04121980,0,1,70,135,32715,2080 KATHRYN  ST,106,
Ty,LAND,10191955,0,1,,,29035,561 WILBURN  ST,483,
Ava,ZIMMER,08191950,0,2,72,134,26984,3345 KIRK  ST,461,
Ivan,POWERS,03201961,0,1,74,159,35968,6779 PEAVINE CREEK  STREET,115,
Nia,MCCOLLUM,11121961,0,1,66,117,30879,8213 CRAIGIE  STREET,200,
Amir,HANEY,02111955,0,4,56,94,30092,173 KIRK  STREET,226,
Carolina,FRITZ,12071985,0,3,,147,38940,3951 OAKHURST  STREET,450,
Anderson,XIONG,03191951,0,4,74,,39300,8444 VILLAGE  STREET,100,
Reese,TILLEY,02141958,0,1,72,151,24642,4276 ASHFIELD  STREET,139,
Ivan,RICE,04261948,0,4,74,145,27329,1393 ARBOR WAY  ST,311,
Cooper,MAULDIN,08171969,0,1,74,159,22093,1913 ERIE  STREET,270,
Spencer,BECERRA,12011976,0,1,,,35495,2815 MERRILL  STREET,408,
Rylan,LOMBARDI,10171956,0,1,,124,32210,2438 VILLAGE WALK  STREET,129,
Jackson,AVERY,01031980,0,4,,158,39357,1269 WILLIAMS  ST,398,
Santiago,AMAYA,10071980,0,2,63,,23343,552 SYCAMORE RIDGE  ST,428,
Vivian,DICKSON,04181975,0,2,,166,25220,6772 MIMOSA  ST,316,
Greyson,EBERT,10171951,0,4,,115,35681,8386 ERIE  ST,204,
Samantha,ROBLES,12141983,0,1,64,,36436,5466 MEDLOCK  STREET,202,
Mario,STEVENS,10171970,0,1,79,143,29106,3434 HILL  ST,173,
Kameron,MCALLISTER,10271962,0,1,64,117,33354,5280 MADISON  ST,394,
Dylan,HOLCOMB,,0,1,68,159,30571,4490 ASHWOOD  STREET,241,
Luis,OGLESBY,08311947,0,4,70,130,27559,481 CANDLER GROVE  STREET,345,
William,MUNOZ,10221945,0,2,77,174,36310,3317 PINEVIEW  STREET,425,
Marissa,FONTENOT,08041951,0,3,56,94,24653,8088 MIMOSA  ST,258,
Ellie,ATKINS,01031971,0,2,74,,21911,6062 HIGH GATE  ST,155,
Jadyn,BOND,12041980,0,3,74,,37731,492 FOWLER  STREET,162,
Jaelyn,BREWER,04171954,0,2,60,,24566,1038 OAKVIEW  ST,350,
Jaylin,MCCONNELL,08041960,0,3,77,146,24171,5070 LANSDOWNE  STREET,205,
Teagan,NEWSOME,02261943,0,4,71,139,26206,6327 LANSDOWNE  ST,419,
Jocelyn,BURRIS,01271984,0,3,61,107,20797,7949 LIVINGSTON  ST,397,
Skylar,COBURN,10041957,0,1,,105,28913,2974 THOMAS  STREET,163,
Breanna,MCGINNIS,04101947,0,,,158,28501,4363 RIO  ST,251,
Genesis,NAVA,07061963,0,4,71,127,29279,1262 CHEWNING  ST,254,
Kassandra,HITCHCOCK,02221948,0,3,75,155,28201,4229 DEKALB INDUSTRIAL  ST,342,
Diamond,NAVA,09181980,0,4,,119,26768,7460 WILLIAMS  ST,418,
Christopher,BECK,06041958,0,4,64,136,28179,3205 HILLCREST  STREET,120,
Fatima,VINCENT,01071971,0,2,68,159,20296,1971 GLENDALE  STREET,384,
Kathleen,CARTWRIGHT,08031960,0,4,60,102,34486,5393 MOCKINGBIRD  ST,245,
Jayson,WEBSTER,05051962,0,3,57,125,27020,5945 WILLIAMS  ST,286,
Lauryn,LOYD,02191979,0,4,64,142,22675,1304 GREEN  STREET,411,
Rebekah,HOUSER,08121961,0,1,68,147,26566,8812 WHEATFIELDS  STREET,390,
Hayley,EDMOND,09251956,0,3,65,,26607,7605 UPLAND  STREET,188,
Monica,CHANEY,02041951,0,1,,,24635,454 FAIRVIEW  ST,159,
Hanna,WHALEN,04151984,0,3,76,176,31503,2815 HILLCREST  STREET,227,
Mya,PUGH,05101981,0,4,60,120,34904,8474 MAEDIRIS  ST,375,
Franklin,FRYE,01151979,0,2,65,,27800,6892 WOODVIEW  STREET,494,
Juan,WING,01071982,0,4,59,129,37046,3983 PENSDALE  STREET,285,
Jose,CARRIER,02071954,0,2,75,173,32955,5897 MEDLOCK  ST,467,
Lorenzo,ZEPEDA,06241943,0,4,71,,26758,8788 HILLYER  STREET,329,
Sandra,DOVE,01301977,0,2,79,174,31542,5489 WOODVIEW  STREET,284,
Camryn,REDD,03161977,0,2,56,122,27087,6943 GLENLAKE COMMONS  ST,464,
Lane,BURNHAM,06101947,0,3,59,120,35672,6477 FAIRFIELD  STREET,184,
Kyla,LAPOINTE,04131969,0,1,55,120,34749,646 FORREST  STREET,419,
Jesus,COTE,07041983,0,2,67,137,37382,5832 IRVIN  ST,183,
Edward,HOLLAND,03171950,0,2,74,177,22514,3031 ASHBURY HEIGHTS  STREET,106,
Melany,ESPINOSA,05021978,0,4,74,131,22516,5393 KATHRYN  ST,324,
Kaden,MUNIZ,06261977,0,4,62,123,38155,1371 DEARBORN  STREET,309,
Jayda,EMERY,03161940,0,2,,,28089,2304 ROCKLAND  STREET,143,
Brandon,CATES,07301968,0,4,,134,21892,5057 MAEDIRIS  STREET,149,
Xander,KENT,06011971,0,4,61,119,28253,4696 CHESTER  ST,359,
Brodie,CHANG,06141980,0,1,63,160,27595,8576 MOUNT VERNON  ST,327,
Douglas,BETTS,01301974,0,3,57,112,32343,551 LAMONT  STREET,441,
Arthur,ROMANO,04201942,0,4,63,120,30054,7378 HANCOCK  ST,147,
Richard,HULL,05241979,0,2,55,110,37204,8892 HOWARD  ST,343,
Sadie,HUYNH,01291943,0,4,72,144,29630,2505 UNDERWOOD  ST,228,
Stella,WILLETT,06221948,0,3,57,127,35946,9178 BROWER  ST,183,
Carter,KAY,01191958,0,3,,124,34232,470 WOODLAND  STREET,478,
Alayna,BRADEN,03311977,0,2,67,157,25899,5325 WALKER  ST,405,
Natalie,WILLOUGHBY,02161943,0,3,68,174,28705,9726 GLENLAKE COMMONS  ST,159,
Dane,ARTIS,02231978,0,1,55,135,32695,4797 PATE  ST,469,
Katie,BENNETT,12041964,0,3,79,145,20656,5621 ERIE  ST,375,
Reese,BETHEA,02121959,0,3,57,139,21174,5465 BUCHANAN  STREET,189,
Juliana,GIVENS,11271967,0,1,59,117,32674,9506 PARK  ST,348,
Corey,DARLING,10211950,0,3,77,184,21402,5554 ASHWOOD  STREET,352,
Izabella,NOE,07111960,0,2,73,151,20630,4540 FAYETTEVILLE  STREET,374,
Jonas,CLEMONS,03171954,0,,77,179,33345,2726 POPLAR LANE  STREET,231,
Sidney,DOWLING,04131960,0,1,56,109,33974,4541 WIMBERLY  STREET,233,
Edwin,LOWE,06271968,0,3,79,,25977,4666 VILLAGE  STREET,464,
